user_id,recommend
76561198079601835,True
MeaTCompany,True
76561198089393905,True
76561198089393905,True
76561198156664158,True
76561198077246154,True
76561198077246154,True
WeiEDKrSat,True
thequeenpanda,True
Rainbow-Dashie,True
Rainbow-Dashie,True
Rainbow-Dashie,True
devvonst,True
devvonst,True
devvonst,True
Fr0stedLine,True
76561198058373434,True
76561198048353577,True
76561198048353577,True
76561198048353577,True
76561198066046412,False
76561198066046412,True
tru_mu_,True
76561198070565427,True
76561198070565427,True
76561198070565427,True
76561198070565427,False
76561198070565427,True
SavageEeEe,True
76561198076909484,True
Leaf_Light_Moscow,True
GoAwayZach,True
76561198061252210,True
OfficialShroomsy,True
boydeer,True
boydeer,False
VVillis,True
76561198170198366,True
diego9031,True
diego9031,True
diego9031,True
diego9031,True
diego9031,True
diego9031,True
diego9031,True
diego9031,True
diego9031,True
diego9031,True
jarrodtrim,True
76561198067936203,True
76561198079770573,True
76561198087586464,True
76561198070194565,True
76561198070194565,True
76561198070194565,True
76561198070194565,True
76561198070194565,True
76561198070194565,True
76561198070194565,True
Rivtex,True
sandwiches1,False
76561198138053270,True
Life-Of-Blu,True
Life-Of-Blu,True
CaptianAutismo,True
76561198075895633,True
iamthekingofbrowntown,False
iamthekingofbrowntown,True
iamthekingofbrowntown,True
iamthekingofbrowntown,True
MainScout,True
yookobz,True
yookobz,True
Mossy_Gaming,True
76561198087407319,True
76561198056741844,True
76561198030567998,True
76561198030567998,True
76561198030567998,True
76561198030567998,True
76561198030567998,True
Coldaniel,True
Coldaniel,True
Coldaniel,True
therealmorty,True
therealmorty,True
Berserklejerker,True
76561198061730629,True
YoHuNz,True
YoHuNz,True
76561198093112529,True
76561198060447950,True
whiteofwolfing,True
76561198081962345,True
76561198081962345,True
76561198073210139,True
76561198056290589,True
Hirukaz,True
76561198183396245,True
76561198090715178,True
76561198090715178,True
CatsWhale,True
CatsWhale,True
CatsWhale,True
CatsWhale,True
76561198073784601,True
76561198073784601,False
mimimomoma,True
76561198102410011,True
de_Butl3r,True
76561198027947401,True
76561198027947401,True
76561198074200011,True
jonasdbomb,True
L1J1N,True
YieuwMage,True
76561198078752187,True
A-Very-Sly-Person,True
A-Very-Sly-Person,True
76561198211054671,True
76561198211054671,True
Koolcaz12,False
76561198188979775,True
DemonicWolvz,True
DemonicWolvz,True
DemonicWolvz,True
DemonicWolvz,True
DemonicWolvz,True
DemonicWolvz,True
GGargula,False
GGargula,True
Myther43,True
76561198141443390,True
76561198097333029,True
whodafuqisthisguilao,True
Magjiikal,True
Magjiikal,True
76561198050347115,True
2768820078,True
2768820078,False
2768820078,True
2768820078,True
2768820078,True
2768820078,True
2768820078,False
2768820078,True
2768820078,True
2768820078,True
76561198056392326,True
76561198056392326,False
76561198056392326,False
76561198078478151,True
exiaez,True
76561198095921854,True
2xDelorean,True
2xDelorean,True
2xDelorean,True
2xDelorean,True
washington_,False
washington_,True
washington_,True
washington_,True
washington_,True
washington_,True
jewxxl,True
76561198088944293,True
76561198088944293,True
76561198088944293,False
76561198088944293,False
76561198088944293,True
nubquake123,True
76561198109656922,True
CobRazor,True
relesprit,True
wantmahbody,True
76561198115868847,False
benedictcuminherbatch,True
76561198031207016,True
76561198043458582,True
76561198043458582,True
76561198043458582,True
76561198043458582,True
smashiroshh,True
shark854,True
1337lolroflmao,True
1337lolroflmao,True
1337lolroflmao,True
1337lolroflmao,True
1337lolroflmao,True
1337lolroflmao,True
1337lolroflmao,True
1337lolroflmao,True
1337lolroflmao,True
sithjjf,False
76561198060039459,False
76561198065593074,False
76561198065593074,False
76561198065593074,True
76561198065593074,True
euzi,True
76561197961778802,True
lucasrash,True
thisissohardtomakeoneup,True
76561198087010391,True
66666669999999,False
76561198061174192,True
76561198061174192,True
76561198084390807,True
76561198084390807,True
76561198028286104,True
76561198104393251,True
76561198075322986,True
76561198151910904,True
76561198071214618,True
76561198071175142,True
76561198071175142,True
Sammeh00,True
76561198045754869,True
76561198076098774,True
76561198103253374,True
76561198048417105,True
76561198048417105,True
76561198048417105,True
76561198048417105,True
76561198090842891,True
76561198055767971,False
adohya343,False
76561198145436942,True
76561198079990063,True
76561198051017916,True
76561198051017916,True
76561198096766604,False
76561197995322437,True
76561198084542731,True
76561198084542731,True
GamerFag,True
GamerFag,True
GamerFag,True
GamerFag,True
GamerFag,True
GamerFag,True
76561198092227136,True
76561198092227136,True
hellcat59,True
76561198007584361,True
tbimperator,True
Allahu_Akbar666,True
Allahu_Akbar666,False
76561198054040292,True
I_DID_911_JUST_SAYING,True
I_DID_911_JUST_SAYING,True
I_DID_911_JUST_SAYING,True
I_DID_911_JUST_SAYING,True
I_DID_911_JUST_SAYING,True
diabeticfuck,True
diabeticfuck,True
diabeticfuck,False
diabeticfuck,True
abiam,True
FrankoWalker,True
FrankoWalker,True
FrankoWalker,True
express157,True
76561198074644990,True
76561198074644990,True
76561198074644990,False
76561198064304806,True
TomoeMamiewe,True
TomoeMamiewe,True
76561198057086148,True
adamcookie,True
mradobe7,False
76561198167207237,True
76561198167207237,True
76561198167207237,True
76561198167207237,True
cancerkek,True
76561198090899557,False
76561198063624801,True
aeryal,True
76561198070263209,True
Agiegamma,True
Agronoth,True
Agronoth,True
Agronoth,True
Agronoth,True
Agronoth,False
UnholyFallenAngel,True
UnholyFallenAngel,True
UnholyFallenAngel,True
76561198068565589,True
76561198068565589,True
76561198068565589,False
SlutOnTheSpit,True
WestyGaming,True
NaruseAiria,True
NaruseAiria,True
NaruseAiria,True
NaruseAiria,True
76561198067713802,True
76561198067713802,True
76561198187212131,True
76561198044678148,True
76561198044678148,True
Alex680,True
alansiulun,True
alansiulun,True
76561198003056556,False
76561198003056556,True
AlexNoClutch,False
Alexwai04,True
76561198095481910,True
76561198164545985,True
mintifreshbadger,True
AlphaBryn444,True
76561198071952798,True
76561198071952798,False
76561198071952798,True
76561198071952798,True
76561198009001563,True
76561198016753953,True
76561198016753953,True
smegmyfoodle,True
smegmyfoodle,True
76561198057869849,True
76561198058836921,True
76561198069170979,True
76561198085956238,False
76561198085956238,False
76561198085956238,True
76561198085956238,False
76561198132540690,True
76561198132540690,True
Andraison,True
76561198055790408,True
76561198099625419,True
76561198099625419,True
76561198099625419,True
76561198099625419,True
76561198099625419,True
76561198084032274,False
76561198084032274,False
Angrovar,True
Angrovar,True
AngryAinsley,True
AngryAinsley,True
AngryAinsley,True
AngryAinsley,True
IKillNoobsFirst,True
1234865654,True
76561198084123358,True
Apachehavoc,False
ApexNZ,True
ApexNZ,True
ApexNZ,True
ApexNZ,True
ApexNZ,True
76561198036687918,True
AppoGetsSuperAdmin,True
AppoGetsSuperAdmin,False
AppoGetsSuperAdmin,True
76561198012909706,True
76561198040530605,True
76561198040530605,True
76561198040530605,True
76561198040530605,True
76561198040530605,True
76561198040530605,True
76561198040530605,True
76561198040530605,True
76561198047185525,True
76561198047185525,True
76561198047185525,True
sweep6060,True
bilyitu,True
bilyitu,True
