user_id,item_id
76561198070234207,43110
76561198070234207,105600
76561198070234207,38830
76561198070234207,99900
76561198070234207,102700
76561198070234207,104700
76561198070234207,208090
76561198070234207,230410
76561198070234207,236390
76561198070234207,238960
76561198070234207,209870
76561198070234207,202090
76561198070234207,239220
76561198070234207,49520
76561198070234207,293540
76561198070234207,294160
76561198070234207,301520
76561198070234207,304050
76561198070234207,304930
76561198070234207,224600
76561198070234207,8980
76561198070234207,222900
76561198070234207,317360
76561198070234207,317470
76561198070234207,323370
76561198070234207,238590
76561198070234207,335240
76561198070234207,335330
76561198070234207,346900
76561198070234207,363970
76561198070234207,380840
76561198070234207,253030
76561198070234207,48000
76561198030389591,205790
76561198030389591,96800
76561198030389591,216370
76561198030389591,225760
76561198030389591,730
76561198030389591,51100
76561198030389591,113400
76561198030389591,271290
76561198030389591,91310
76561198030389591,216250
76561198030389591,346330
76561198030389591,372000
76561198076909484,12210
76561198076909484,104900
76561198076909484,730
76561198076909484,203140
76561198076909484,205790
76561198076909484,109600
76561198076909484,265630
76561198076909484,209000
76561198076909484,304930
76561198076909484,227940
76561198076909484,291550
76561198066908262,33910
76561198066908262,33930
76561198066908262,219540
76561198066908262,24240
76561198066908262,204360
76561198066908262,214950
76561198066908262,242760
76561198066908262,107410
76561198066908262,221380
76561198066908262,221100
erickoiv,205790
erickoiv,209870
erickoiv,245550
erickoiv,343450
erickoiv,24240
erickoiv,48000
76561198083226897,105600
76561198083226897,205790
76561198083226897,216150
76561198083226897,730
76561198083226897,236110
76561198083226897,273350
76561197977385164,220
76561197977385164,240
76561197977385164,320
76561197977385164,340
76561197977385164,300
76561197977385164,400
76561197977385164,7940
76561197977385164,500
76561197977385164,22370
76561197977385164,620
76561197977385164,730
76561197977385164,220240
firefreddy,220
firefreddy,340
firefreddy,205790
firefreddy,38830
firefreddy,99900
firefreddy,104700
firefreddy,230410
firefreddy,286080
firefreddy,265630
firefreddy,286100
firefreddy,253530
firefreddy,270370
firefreddy,319060
firefreddy,290930
firefreddy,304930
firefreddy,310370
firefreddy,317400
firefreddy,322170
firefreddy,346120
firefreddy,353360
firefreddy,365670
firefreddy,375460
firefreddy,389570
firefreddy,427920
firefreddy,466910
76561198093083895,620
76561198093083895,99900
76561198093083895,265630
76561198093083895,301520
76561198093083895,302830
76561198093083895,304050
76561198093083895,304930
76561198093083895,317400
76561198093083895,205790
76561198093083895,333930
76561198093083895,338180
76561198093083895,230290
76561198093083895,255710
76561198093083895,397340
76561198093083895,280790
Mossy_Gaming,620
Mossy_Gaming,11020
Mossy_Gaming,99900
Mossy_Gaming,200210
Mossy_Gaming,207230
Mossy_Gaming,211500
Mossy_Gaming,230410
Mossy_Gaming,286080
Mossy_Gaming,265630
Mossy_Gaming,239220
Mossy_Gaming,65790
Mossy_Gaming,247120
Mossy_Gaming,260410
Mossy_Gaming,301520
Mossy_Gaming,304050
Mossy_Gaming,304930
Mossy_Gaming,302380
Mossy_Gaming,346900
Mossy_Gaming,359050
Mossy_Gaming,236110
Mossy_Gaming,319630
76561198039266268,500
76561198039266268,550
76561198039266268,223530
76561198039266268,31280
76561198039266268,205790
76561198039266268,99900
76561198039266268,271290
76561198039266268,224260
76561198039266268,301520
76561198039266268,302830
76561198039266268,304930
76561198039266268,244630
76561198039266268,17570
76561198068621601,24240
76561198068621601,236390
76561198068621601,218620
76561198068621601,550
76561198068621601,223530
76561198068621601,304930
76561198068621601,326460
76561198068621601,730
76561198102410011,205790
76561198102410011,17080
76561198102410011,99900
76561198102410011,99910
76561198102410011,212800
76561198102410011,213650
76561198102410011,250420
76561198102410011,250600
76561198102410011,251670
76561198102410011,269390
76561198102410011,286100
76561198102410011,239220
76561198102410011,252950
76561198102410011,257710
76561198102410011,290730
76561198102410011,298260
76561198102410011,301520
76561198102410011,304930
76561198102410011,270570
76561198102410011,317470
76561198102410011,297210
76561198102410011,730
76561198074200011,326460
76561198074200011,730
76561198074200011,333930
76561198074200011,407250
76561198215949741,730
76561198215949741,236110
76561198031924053,22380
76561198031924053,205790
76561198031924053,4920
76561198031924053,377160
76561198060062487,205790
76561198060062487,109600
76561198060062487,230410
76561198060062487,252950
76561198060062487,323370
jimmyarcexd,205790
76561198203244300,105600
76561198203244300,11020
76561198203244300,38830
76561198203244300,99900
76561198203244300,104700
76561198203244300,200210
76561198203244300,214420
76561198203244300,265630
76561198203244300,224260
76561198203244300,239220
76561198203244300,251970
76561198203244300,252950
76561198203244300,301520
76561198203244300,302830
76561198203244300,304050
76561198203244300,304930
76561198203244300,333930
76561198203244300,335330
76561198203244300,316390
76561198203244300,346900
76561198203244300,363970
76561198203244300,376570
76561198203244300,380360
76561198203244300,380840
76561198203244300,382490
76561198203244300,385770
76561198203244300,291550
76561198203244300,389570
76561198203244300,391460
76561198203244300,400030
76561198203244300,402840
76561198203244300,299360
76561198203244300,236110
76561198203244300,413170
76561198203244300,280790
76561198203244300,418070
76561198203244300,427270
76561198203244300,424280
76561198203244300,438040
76561198203244300,466910
benedictcuminherbatch,1250
benedictcuminherbatch,35420
benedictcuminherbatch,205790
benedictcuminherbatch,221640
benedictcuminherbatch,252950
76561198089077856,205790
76561198089077856,407250
76561198089077856,466910
76561198089077856,485220
76561198011661078,10
76561198011661078,40
76561198011661078,60
76561198011661078,80
76561198011661078,100
76561198011661078,500
76561198011661078,550
76561198011661078,223530
76561198011661078,108800
76561198011661078,730
76561198011661078,205790
76561198080832419,105600
76561198080832419,205790
76561198080832419,304050
76561198080832419,258160
76561198080832419,323370
76561198080832419,346110
76561198080832419,407530
76561198080832419,372000
76561198080832419,386360
76561198080832419,348460
euzi,47870
euzi,33440
euzi,208500
euzi,205790
euzi,211970
euzi,236390
euzi,223750
euzi,244210
euzi,223670
euzi,255220
euzi,15320
euzi,286570
euzi,227940
euzi,314160
euzi,203680
euzi,226580
euzi,391040
euzi,407250
euzi,378120
76561198082845362,730
76561198082845362,205790
76561198082845362,218230
76561198082845362,236390
76561198082845362,39120
76561198082845362,251570
76561198003688205,10
76561198003688205,80
76561198003688205,100
76561198003688205,240
76561198003688205,730
76561198003688205,282660
76561198003688205,301520
xXBoss1Xx,104900
xXBoss1Xx,730
xXBoss1Xx,510050
t8s,10180
t8s,10190
t8s,92100
t8s,208090
t8s,211500
t8s,236390
t8s,248570
t8s,265630
t8s,206500
t8s,216150
t8s,224260
t8s,226320
t8s,224220
t8s,218620
t8s,252950
t8s,273110
t8s,295110
t8s,362300
t8s,433850
t8s,439700
t8s,296470
t8s,304930
t8s,310370
t8s,311080
t8s,227940
t8s,222900
t8s,323370
t8s,331710
t8s,730
t8s,333930
t8s,334230
t8s,335240
t8s,339610
t8s,344040
t8s,346900
t8s,351800
t8s,354200
t8s,39120
t8s,354850
t8s,355180
t8s,355970
t8s,359050
t8s,359800
t8s,360380
t8s,360870
t8s,363970
t8s,366890
t8s,368900
t8s,369000
t8s,369400
t8s,370100
t8s,373110
t8s,380600
t8s,383580
t8s,385200
t8s,386360
t8s,291550
t8s,387860
t8s,388870
t8s,391070
t8s,391270
t8s,392870
t8s,395980
t8s,397620
t8s,417860
t8s,431240
t8s,424280
t8s,436150
t8s,244930
t8s,459820
76561197989175394,240
76561197989175394,12900
76561197989175394,23490
76561197989175394,8980
76561197989175394,42700
76561197989175394,42710
76561197989175394,205790
76561197989175394,105450
76561197989175394,730
76561197989175394,200710
76561197989175394,48220
76561197989175394,202970
76561197989175394,202990
76561197989175394,212910
76561197989175394,226700
76561197989175394,238960
76561197989175394,253710
76561197989175394,224600
76561197989175394,242760
76561197989175394,91310
